Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,23.040001,29.190001,22.559999,26.969999,26.969999,0
2021-01-05,26.940001,28.6,24.799999,25.34,25.34,0
2021-01-06,25.48,26.77,22.139999,25.07,25.07,0
2021-01-07,23.67,23.91,22.25,22.370001,22.370001,0
2021-01-08,22.43,23.34,21.42,21.559999,21.559999,0
2021-01-11,23.309999,24.809999,23.23,24.08,24.08,0
2021-01-12,23.49,25.15,22.83,23.33,23.33,0
2021-01-13,23.07,24.18,21.92,22.209999,22.209999,0
2021-01-14,22.219999,23.469999,21.66,23.25,23.25,0
2021-01-15,23.52,25.799999,23.08,24.34,24.34,0
2021-01-18,null,null,null,null,null,null
2021-01-19,23.030001,23.559999,22.530001,23.24,23.24,0
2021-01-20,22.82,22.860001,21.370001,21.58,21.58,0
2021-01-21,21.34,22.219999,21.09,21.32,21.32,0
2021-01-22,22.24,23.73,21.27,21.91,21.91,0
2021-01-25,22.309999,26.629999,22.200001,23.190001,23.190001,0
2021-01-26,23.91,23.940001,22.549999,23.02,23.02,0
2021-01-27,23.82,37.209999,23.709999,37.209999,37.209999,0
2021-01-28,33.25,36.290001,27.389999,30.209999,30.209999,0
2021-01-29,35.16,37.509998,29.24,33.09,33.09,0
2021-02-01,31.450001,33.959999,29.030001,30.24,30.24,0
2021-02-02,28.01,28.08,25.309999,25.559999,25.559999,0
2021-02-03,24.59,25.43,22.91,22.91,22.91,0
2021-02-04,23.440001,23.440001,21.68,21.77,21.77,0
2021-02-05,21.99,22.16,20.860001,20.870001,20.870001,0
2021-02-08,21.889999,22.07,21.23,21.24,21.24,0
2021-02-09,21.57,22.26,20.65,21.629999,21.629999,0
2021-02-10,21.639999,23.85,19.690001,21.99,21.99,0
2021-02-11,22.09,23.25,21.110001,21.25,21.25,0
2021-02-12,21.6,22.450001,19.950001,19.969999,19.969999,0
2021-02-15,null,null,null,null,null,null
2021-02-16,21.129999,22.459999,20.879999,21.459999,21.459999,0
2021-02-17,22.02,23.440001,21.09,21.5,21.5,0
2021-02-18,21.98,24.23,21.799999,22.49,22.49,0
2021-02-19,23.1,23.190001,20.84,22.049999,22.049999,0
2021-02-22,24.459999,25.09,21.959999,23.450001,23.450001,0
2021-02-23,22.82,27.01,22.5,23.110001,23.110001,0
2021-02-24,23.76,25.040001,21.309999,21.34,21.34,0
2021-02-25,21.73,31.16,21.52,28.889999,28.889999,0
2021-02-26,28.73,30.82,25.23,27.950001,27.950001,0
2021-03-01,25.200001,25.389999,23.17,23.35,23.35,0
2021-03-02,23.58,24.6,22.799999,24.1,24.1,0
2021-03-03,22.799999,26.790001,22.450001,26.67,26.67,0
2021-03-04,26.52,31.9,24.93,28.57,28.57,0
2021-03-05,29.48,30.030001,24.33,24.66,24.66,0
2021-03-08,27.610001,28.389999,24.07,25.469999,25.469999,0
2021-03-09,25.110001,25.25,22.9,24.030001,24.030001,0
2021-03-10,23.76,23.870001,22.379999,22.559999,22.559999,0
2021-03-11,22.5,22.5,21.450001,21.91,21.91,0
2021-03-12,22.57,22.99,20.629999,20.690001,20.690001,0
2021-03-15,21.84,21.860001,19.870001,20.030001,20.030001,0
2021-03-16,20.139999,20.309999,19.33,19.790001,19.790001,0
2021-03-17,20.1,20.950001,19.18,19.23,19.23,0
2021-03-18,18.950001,22.6,18.950001,21.58,21.58,0
2021-03-19,21.43,23.17,19.9,20.950001,20.950001,0
2021-03-22,21.91,22.290001,18.870001,18.879999,18.879999,0
2021-03-23,19.459999,21.58,18.799999,20.299999,20.299999,0
2021-03-24,20.639999,21.49,19.299999,21.200001,21.200001,0
2021-03-25,20.799999,23.549999,19.809999,19.809999,19.809999,0
2021-03-26,19.32,21.49,18.68,18.860001,18.860001,0
2021-03-29,20.4,21.6,19.42,20.74,20.74,0
2021-03-30,20.76,21.75,19.469999,19.610001,19.610001,0
2021-03-31,19.799999,20.110001,18.85,19.4,19.4,0
2021-04-01,18.6,18.639999,17.290001,17.33,17.33,0
2021-04-02,null,null,null,null,null,null
2021-04-05,18.16,18.4,17.35,17.91,17.91,0
2021-04-06,18.07,18.299999,17.370001,18.120001,18.120001,0
2021-04-07,17.99,18.17,16.870001,17.16,17.16,0
2021-04-08,16.92,17.360001,16.549999,16.950001,16.950001,0
2021-04-09,17.049999,17.34,16.200001,16.690001,16.690001,0
2021-04-12,17.43,17.91,16.809999,16.91,16.91,0
2021-04-13,16.99,17.860001,16.43,16.65,16.65,0
2021-04-14,16.709999,17.690001,15.38,16.99,16.99,0
2021-04-15,16.780001,16.92,15.94,16.57,16.57,0
2021-04-16,16.65,16.879999,16.049999,16.25,16.25,0
2021-04-19,17.040001,18.610001,16.780001,17.290001,17.290001,0
2021-04-20,17.360001,19.700001,17.24,18.68,18.68,0
2021-04-21,18.48,19.290001,16.91,17.5,17.5,0
2021-04-22,17.280001,19.9,16.99,18.709999,18.709999,0
2021-04-23,18.559999,18.780001,16.799999,17.33,17.33,0
2021-04-26,17.940001,18.17,16.870001,17.639999,17.639999,0
2021-04-27,17.620001,18.16,16.969999,17.559999,17.559999,0
2021-04-28,17.469999,17.84,16.67,17.280001,17.280001,0
2021-04-29,16.879999,18.870001,16.77,17.610001,17.610001,0
2021-04-30,17.67,19.25,17.639999,18.610001,18.610001,0
2021-05-03,18.65,19.120001,17.799999,18.309999,18.309999,0
2021-05-04,18.16,21.85,18.110001,19.48,19.48,0
2021-05-05,18.84,19.58,17.889999,19.15,19.15,0
2021-05-06,18.41,20.6,18.209999,18.389999,18.389999,0
2021-05-07,18.450001,18.57,16.68,16.690001,16.690001,0
2021-05-10,17.34,19.75,17.07,19.66,19.66,0
2021-05-11,21.17,23.73,20.709999,21.84,21.84,0
2021-05-12,22.42,28.379999,21.66,27.59,27.59,0
2021-05-13,26.030001,28.93,22.23,23.129999,23.129999,0
2021-05-14,21.77,22.1,18.66,18.809999,18.809999,0
2021-05-17,19.889999,21.58,19.67,19.719999,19.719999,0
2021-05-18,18.889999,21.450001,18.809999,21.34,21.34,0
2021-05-19,22.459999,25.959999,21.879999,22.18,22.18,0
2021-05-20,22.33,23.5,20.190001,20.67,20.67,0
2021-05-21,20.42,20.889999,19.530001,20.15,20.15,0
2021-05-24,20.5,20.51,18.379999,18.4,18.4,0
2021-05-25,18.35,19.290001,16.870001,18.84,18.84,0
2021-05-26,18.370001,18.92,17.35,17.360001,17.360001,0
2021-05-27,18.030001,18.17,16.52,16.74,16.74,0
2021-05-28,16.799999,16.860001,15.9,16.76,16.76,0
2021-05-31,null,null,null,null,null,null
2021-06-01,17.24,18.530001,15.68,17.9,17.9,0
2021-06-02,17.860001,18.309999,16.74,17.48,17.48,0
2021-06-03,17.73,19.27,17.450001,18.040001,18.040001,0
2021-06-04,18.09,18.42,16.18,16.42,16.42,0
2021-06-07,17.34,17.35,15.78,16.42,16.42,0
2021-06-08,16.58,17.75,15.15,17.07,17.07,0
2021-06-09,17.18,17.959999,15.55,17.889999,17.889999,0
2021-06-10,18.18,18.290001,16.01,16.1,16.1,0
2021-06-11,16.18,16.200001,15.15,15.65,15.65,0
2021-06-14,16.040001,17.040001,15.04,16.389999,16.389999,0
2021-06-15,16.27,17.35,16.139999,17.02,17.02,0
2021-06-16,16.99,19.110001,16.42,18.15,18.15,0
2021-06-17,18.49,19.219999,16.709999,17.75,17.75,0
2021-06-18,16.959999,21.040001,16.92,20.700001,20.700001,0
2021-06-21,21.74,21.82,17.809999,17.889999,17.889999,0
2021-06-22,17.91,18.32,15.76,16.66,16.66,0
2021-06-23,16.25,16.84,14.86,16.32,16.32,0
2021-06-24,15.99,16.049999,14.19,15.97,15.97,0
2021-06-25,16.040001,16.17,15.21,15.62,15.62,0
2021-06-28,16.07,16.459999,15.39,15.76,15.76,0
2021-06-29,15.69,16.309999,14.1,16.02,16.02,0
2021-06-30,16.18,17.309999,15.58,15.83,15.83,0
2021-07-01,15.62,16.01,15.31,15.48,15.48,0
2021-07-02,15.53,15.54,14.25,15.07,15.07,0
2021-07-05,null,null,null,null,null,null
2021-07-06,15.77,17.940001,15.73,16.440001,16.440001,0
2021-07-07,16.43,17.639999,16.08,16.200001,16.200001,0
2021-07-08,17.74,21.290001,17.74,19,19,0
2021-07-09,17.879999,18.129999,16.08,16.18,16.18,0
2021-07-12,16.85,17.52,16.139999,16.17,16.17,0
2021-07-13,16.389999,17.23,15.94,17.120001,17.120001,0
2021-07-14,17.34,17.51,15.95,16.33,16.33,0
2021-07-15,16.700001,18.09,16.559999,17.01,17.01,0
2021-07-16,16.799999,18.700001,16.030001,18.450001,18.450001,0
2021-07-19,19.610001,25.09,19.27,22.5,22.5,0
2021-07-20,20.889999,22.969999,19.370001,19.73,19.73,0
2021-07-21,19.73,19.82,17.809999,17.91,17.91,0
2021-07-22,17.59,18.450001,17.4,17.690001,17.690001,0
2021-07-23,16.98,17.48,16.33,17.200001,17.200001,0
2021-07-26,18.67,19.389999,17.530001,17.58,17.58,0
2021-07-27,18.620001,20.440001,18.25,19.360001,19.360001,0
2021-07-28,19.41,19.620001,17.52,18.309999,18.309999,0
2021-07-29,17.91,18.01,17.190001,17.700001,17.700001,0
2021-07-30,19.690001,19.719999,17.530001,18.24,18.24,0
2021-08-02,18.16,19.870001,17.99,19.459999,19.459999,0
2021-08-03,19.17,20.440001,17.700001,18.040001,18.040001,0
2021-08-04,18.23,18.9,17.67,17.969999,17.969999,0
2021-08-05,17.73,17.84,17.23,17.280001,17.280001,0
2021-08-06,17.459999,17.5,16.139999,16.15,16.15,0
2021-08-09,17.120001,17.389999,16.59,16.719999,16.719999,0
2021-08-10,16.82,17.049999,16.34,16.790001,16.790001,0
2021-08-11,16.809999,17.09,16.07,16.17,16.17,0
2021-08-12,16.33,16.42,15.49,15.59,15.59,0
2021-08-13,15.68,15.72,15.19,15.45,15.45,0
2021-08-16,17.049999,17.709999,16.02,16.120001,16.120001,0
2021-08-17,17.309999,19.559999,16.709999,17.91,17.91,0
2021-08-18,17.559999,21.639999,17.309999,21.57,21.57,0
2021-08-19,23.120001,24.74,20.370001,21.67,21.67,0
2021-08-20,22.74,23.9,18.18,18.559999,18.559999,0
2021-08-23,18.83,18.950001,16.950001,17.15,17.15,0
2021-08-24,16.959999,17.51,16.940001,17.219999,17.219999,0
2021-08-25,17.42,17.5,16.459999,16.790001,16.790001,0
2021-08-26,17.459999,19.27,17.16,18.84,18.84,0
2021-08-27,17.950001,18.219999,16.110001,16.389999,16.389999,0
2021-08-30,16.77,16.799999,15.98,16.190001,16.190001,0
2021-08-31,15.98,17.07,15.91,16.48,16.48,0
2021-09-01,16.059999,16.709999,15.68,16.110001,16.110001,0
2021-09-02,16.27,16.98,15.73,16.41,16.41,0
2021-09-03,16.27,17.059999,16.08,16.41,16.41,0
2021-09-06,null,null,null,null,null,null
2021-09-07,16.940001,18.389999,16.889999,18.139999,18.139999,0
2021-09-08,18.969999,19.639999,17.780001,17.959999,17.959999,0
2021-09-09,19.440001,19.540001,17.17,18.799999,18.799999,0
2021-09-10,17.940001,21.129999,16.99,20.950001,20.950001,0
2021-09-13,19.639999,21.18,18.76,19.370001,19.370001,0
2021-09-14,19.58,20.469999,18.389999,19.459999,19.459999,0
2021-09-15,19.299999,20.27,18.01,18.18,18.18,0
2021-09-16,18.41,19.76,17.65,18.690001,18.690001,0
2021-09-17,18.370001,21.51,18.35,20.809999,20.809999,0
2021-09-20,24.25,28.790001,23.9,25.709999,25.709999,0
2021-09-21,23.41,25.6,21.709999,24.360001,24.360001,0
2021-09-22,22.719999,23.4,20.75,20.870001,20.870001,0
2021-09-23,19.91,20.209999,18.42,18.629999,18.629999,0
2021-09-24,19.33,20.41,17.629999,17.75,17.75,0
2021-09-27,17.780001,19.32,17.74,18.76,18.76,0
2021-09-28,19.74,24.82,19.709999,23.25,23.25,0
2021-09-29,22.07,23.790001,21.450001,22.559999,22.559999,0
2021-09-30,21.48,24.709999,20.6,23.139999,23.139999,0
2021-10-01,24.780001,24.889999,20.85,21.1,21.1,0
2021-10-04,22.9,24.58,21.879999,22.959999,22.959999,0
2021-10-05,22.92,23.17,20.620001,21.299999,21.299999,0
2021-10-06,22.950001,24.4,20.99,21,21,0
2021-10-07,20.540001,20.76,19.07,19.540001,19.540001,0
2021-10-08,19.459999,19.940001,18.200001,18.77,18.77,0
2021-10-11,19.93,20.450001,18.110001,20,20,0
2021-10-12,20.620001,20.809999,18.969999,19.85,19.85,0
2021-10-13,20.139999,20.23,18.440001,18.639999,18.639999,0
2021-10-14,18.01,18.08,16.799999,16.860001,16.860001,0
2021-10-15,16.639999,16.85,15.72,16.299999,16.299999,0
2021-10-18,17.290001,17.93,16.27,16.309999,16.309999,0
2021-10-19,16.09,16.309999,15.57,15.7,15.7,0
2021-10-20,15.82,15.89,15.29,15.49,15.49,0
2021-10-21,16.059999,16.110001,14.92,15.01,15.01,0
2021-10-22,15.35,16.389999,14.84,15.43,15.43,0
2021-10-25,16.139999,16.33,15.1,15.24,15.24,0
2021-10-26,15.02,16.709999,14.9,15.98,15.98,0
2021-10-27,15.79,17.290001,15.54,16.98,16.98,0
2021-10-28,17.059999,17.16,16.23,16.530001,16.530001,0
2021-10-29,17.4,18.059999,16.129999,16.26,16.26,0
2021-11-01,16.85,17.700001,16.32,16.41,16.41,0
2021-11-02,16.540001,16.65,15.89,16.030001,16.030001,0
2021-11-03,16.110001,16.389999,14.9,15.1,15.1,0
2021-11-04,15.06,16.139999,14.73,15.44,15.44,0
2021-11-05,15.59,17.02,14.95,16.48,16.48,0
2021-11-08,17.23,17.690001,16.440001,17.219999,17.219999,0
2021-11-09,17.43,18.57,17.209999,17.780001,17.780001,0
2021-11-10,17.74,19.9,17.219999,18.73,18.73,0
2021-11-11,18.34,18.389999,17.27,17.66,17.66,0
2021-11-12,17.49,17.690001,16.15,16.290001,16.290001,0
2021-11-15,17.030001,17.459999,16.49,16.49,16.49,0
2021-11-16,16.860001,17.08,16.030001,16.370001,16.370001,0
2021-11-17,16.360001,17.190001,16.280001,17.110001,17.110001,0
2021-11-18,16.809999,18.15,16.379999,17.59,17.59,0
2021-11-19,17.360001,19.01,17.23,17.91,17.91,0
2021-11-22,18.200001,19.59,17.35,19.17,19.17,0
2021-11-23,20.24,20.91,19.030001,19.379999,19.379999,0
2021-11-24,19.17,20.959999,18.52,18.58,18.58,0
2021-11-25,null,null,null,null,null,null
2021-11-26,26.620001,28.99,23.879999,28.620001,28.620001,0
2021-11-29,25.309999,25.690001,21.709999,22.959999,22.959999,0
2021-11-30,26.23,28.559999,23.709999,27.190001,27.190001,0
2021-12-01,24.92,32.610001,22.379999,31.120001,31.120001,0
2021-12-02,29.440001,30.68,27.15,27.950001,27.950001,0
2021-12-03,26.950001,35.32,25.889999,30.67,30.67,0
